Rush,Talib Kweli,222,
Year 3000,Jonas Brothers,538,
1(If Youre Wondering If I Want You To) I Want You To,Weezer,209,
Small Hours,John Martyn,1396,
Here Comes The Sun,The Beatles,189,
No Tears,James Blunt,232,
Aubrey (Lp Version),Bread,219,
Speak Your Heart,Lizz Wright,225,
Stan,Eminem,406,
Shape Of My Heart,Backstreet Boys,231,
All Nightmare Long , Metallica,477,
With Teeth,Nine Inch Nails,337,
Forget That Girl,The Monkees,150,
A Public Affair,Jessica Simpson,201,
Motorbreath , Metallica,202,
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,227,
Red,Taylor Swift,223,
Backyard,Good Lovelies,238,
A Thousand Miles,Vanessa Carlton,243,
Seventeen,Keren Ann,146,
Girl In Your Dreams,M2M,226,
Dancing In The Moonlight,Toploader,233,
Polly,Keren Ann,198,
Killer On The Road,Oh Laura,234,
Her Morning Elegance,Oren Lavie,218,
Barbie Girl,Aqua,202,
Defy You ,The Offspring,228,
I Don'T Want To Say Goodbye,Teddy Thompson,197,
Sweet Amber,Metallica,327,
Hear The Noise That Moves So Soft And Low,James Vincent McMorrow,243,
Restless,Alison Krauss & Union Station,,175,
Please Sister,The Cardigans,280,
Before You Die,Bad Religion,412,
I'Ll Be Your Man,James Blunt,219,
Hot Air Balloon,Owl City,568,
Love Generation,Bob Sinclar,177,
The Hill,Marketa Irglova,276,
The Moment I Knew,Taylor Swift,765,
My Name Is Trouble,Keren Ann,253,
Jesus Christ Pose , Soundgarden,383,
Erased,Annie Lennox,280,
Melt The Snow,Shayne Ward,232,
Foundations,Kate Nash,249,
Wild World,Mr. Big,209,
Only Ones Who Know,Arctic Monkeys,187,
Great Divide,Hanson,240,
Fat Lip,SUM 41,180,
Limit To Your Love,Feist,696,
Dying,Hole,225,
Back To December,Taylor Swift,298,
Favorite Song,Colbie Caillat,230,
Half Life,Imogen Heap,242,
Words,The Monkees,166,
Cry For Help,Rick Astley,291,
All Too Well,Taylor Swift,848,
With Him,Babyface,287,
A N I C,Sum 41,41,
Pride,Manchester Orchestra,361,
Caving In,Kimya Dawson,184,
Smoke,Tristan Prettyman,225,
Suicide Is Painless,Lady & Bird,179,
Annihilation By The Hands Of God (Album Version) , Roadrunner United ,333,
Treacherous,Taylor Swift,663,
Because Trees Can Fly,Lampshade,273,
Elizabeth On The Bathroom Floor,Eels,129,
Glad You Came,The Wanted,198,
Pancake,Tori Amos,357,
We Exchanged Words,Azure Ray,169,
Gone , Kelly Clarkson,208,
The Love That Harms,John Hiatt,174,
You Know What,Craig David,217,
Last Christmas,Taylor Swift,208,
Tonight I Wanna Cry,Keith Urban,259,
Cold Water,Damien Rice,301,
Down,"Jason Walker,Molly Reed",249,
Heaven,Beyonce,231,
Something Told Me,Coal Chamber,202,
Should'Ve Said No,Taylor Swift,246,
Don'T Stop Movin',S Club 7,237,
Life For Rent,Dido,225,
Death To Birth,Michael Pitt,286,
Here I Am,Leona Lewis,293,
Second Hand,Bachman-Turner Overdrive,203,
Man! I Feel Like A Woman!,Shania Twain,233,
Untouchable,Taylor Swift,314,
just like heaven,Katie Melua,218,
Maybe , Kelly Clarkson,267,
Then Go [Live From Union Chapel],Damien Rice,350,
Time Enough For Tears (Borrowed Heaven_Album Version),The Corrs,307,
Party Til You Puke,Andrew W.K.,155,
Look Out (Here Comes Tomorrow),The Monkees,132,
Stay Away , Nirvana,215,
More Like Her,Miranda Lambert,560,
Misery,Maroon 5,576,
Windmills Of Your Mind,Sting,259,
Ballad Of Ira Hayes,Johnny Cash,173,
Happy Xmas (War Is Over),The Moody Blues,158,
Kill You,Eminem,267,
The Day I Died,Just Jack,220,
Never Know,Jack Johnson,212,
To All The Girls,Aaron Carter,209,
The Angry Mob , Kaiser Chiefs,285,
Sunshine In The Rain,Bwo,214,
Breaking The Law , Judas Priest,153,
The Lazy Song,Bruno Mars,190,
Amnesia,The Fabulous Thunderbirds,225,
my gift of silence,Blackfield,245,
Like Toy Soldiers , Eminem,303,
Blonde On Blonde,Nada Surf,277,
Stupid,Toni Braxton,217,
To The Country,Laura Veirs And Saltbreakers,309,
Like A Song,Lenka,204,
Everyday,Sausalito Foxtrot,102,
Hallelujah,Rufus Wainwright,249,
Beautiful Soul,Jesse Mccartney,199,
Blood Red,Slayer,167,
Much Farther To Go,Rosie Thomas,258,
It Doesn't Have To Be Beautiful,Slow Club,224,
Fireflies,Owl City,230,
Sometimes,Britney Spears,250,
imagine me without you,Jaci Velasquez,250,
5 Years Time,Noah And The Whale,216,
The Veldt (Radio Edit),Deadmau5,172,
Christmas In My Heart (Single Version),Sarah Connor,259,
Don'T Let The Man Get You Down,Fatboy Slim,241,
I M Still Breathing,Katy Perry,232,
Scarborough Fair,Sarah Brightman,257,
Creeping Death , Metallica,396,
In The Morning,Club 8,162,
Let Me Down,Kelly Clarkson,207,
Dream,Priscilla Ahn,214,
Free,Good Lovelies,177,
American Idiot (Album Version) , Green Day,176,
To Blossom Blue,Lake Of Tears,495,
The Propaganda , Limp Bizkit,316,
Songs Like This,Carrie Underwood,161,
Falling In Love At A Coffee Shop,Landon Pigg,247,
We Are Golden,MIKA,240,
Here Without You,3 Doors Down,251,
"Endless, Nameless",Nirvana,405,
Sextape,Deftones,243,
You,chris young,164,
As Long As You Love Me,Backstreet Boys,225,
Lonely Enough,Little Big Town,267,
A Place Nearby,Lene Marlin,252,
Lost Without You,Delta Goodrem,249,
Battery , Metallica,316,
Take A Giant Step,The Monkees,151,
Wild Is The Wind,Amel Larrieux,177,
The Surrender,Limp Bizkit,239,
Happiness,The Fray,325,
Home,Michael BublÃ©,542,
Invisible,Taylor Swift,206,
She,The Monkees,160,
You Stole,Brand New,360,
Orchids,Stone Sour,264,
Gunpowder & Lead,Miranda Lambert,514,
Be Still,Kari Jobe,205,
Cuddly Toy,The Monkees,165,
I Can See Clearly Now,Jimmy Cliff,200,
The Forgotten,Green Day,301,
The Ripper , Judas Priest,161,
Pretty Fly (For A White Guy) , The Offspring,189,
Philadelphia,NEIL YOUNG,246,
La Isla Bonita,Madonna,247,
Unchained Melody,Harry Belafonte,205,
Luna,Bombay Bicycle Club,190,
Bruises,Chairlift,241,
9 Crimes,Damien Rice,219,
I Am Falling Now,Maximilian Hecker,844,
No Escape From The Blues,Muddy Waters,124,
Pumped up Kicks (Album Version),Foster The People,239,
Black & Blue,Chris Garneau,334,
All Out Of Love,Air Supply,242,
A Name In This Town,Josh Thompson,232,
Seven Days In Sunny June,Jamiroquai,240,
Good Girl Gone Bad,Rihanna,218,
Rain Man,Eminem,320,
The Show,Lenka,239,
Ride The Lightning , Metallica,397,
Silver Lining,Kacey Musgraves,230,
The Way I Am,Eminem,293,
Lovefool,The Cardigans,197,
Cold Water,Damien Rice,301,
Air Traffic,Owl City,182,
Say Hey (I Love You),Michael Franti & Spearhead,236,
Hope There'S Someone,Antony & The Johnsons,261,
True Love,The Fabulous Thunderbirds,188,
Not Going Anywhere,Keren Ann,219,
Top Of The World,Carpenters,181,
Around The World,Aqua,213,
Every Little Thing,Good Lovelies,201,
Love The Way You Lie,"Eminem,Rihanna",702,
What He Wrote,Laura Marling,249,
One Love,Blue,209,
"Starfuckers, Inc.",Nine Inch Nails,300,
Daylight,Matt & Kim,171,
Too Serious Too Soon,Gareth Gates,226,
Three Courses And An Open Canoe,Tamas Wells,190,
Sweet Sixteen,Hilary Duff,187,
Get Lost,Patrick Wolf,197,
I Could Be The One ( Lp Version ),Donna Lewis,230,
The Way You Look Tonight,Maroon 5,209,
Do Ya Thang,Rihanna,223,
If I Ever Break Your Heart,The Notorious Cherry Bombs,204,
Explorers,Sky Sailing,251,
Astronaut,Just Jack,229,
Should It Matter,Sissel,308,
I Wonder (Departure),Abba,274,
T H T,Sum 41,47,
Paint It Black,Vanessa Carlton,215,
Time To Carry On,Vince Gill,248,
Sad News,Chris Garneau,364,
Foundations,Kate Nash,218,
My Baby,Britney Spears,202,
(I'Ll Never Be) Your Maggie May,Suzanne Vega,226,
Pretend We'Re Dead , L7,235,
Shining Friends,·ëêØæ¥,109,
Ashes And Wine,A Fine Frenzy,695,
I'Ve Never Been To Me,Charlene,229,
My Love,Lene Marlin,272,
Sad Eyes,Bat For Lashes,259,
You Belong To Me,Carla Bruni,185,
Leper Messiah , Metallica,343,
Pacific Coast Party,Smash Mouth,182,
Space Bound,Eminem,743,
93 Million Miles,Jason Mraz,218,
England Made Me,Black Box Recorder,243,
Life Is Wonderful,Jason Mraz,258,
Relief,Chris Garneau,229,
Breathe Again,Sara Bareilles,298,
I Love Nyc,Andrew W.K.,191,
The World As I See It,Jason Mraz,239,
Keep Walking or I'll Kill You,Agnes Kain,216,
Dope Hat , Marilyn Manson,261,
Tonight Tonight,Hot Chelle Rae,200,
Grafton Street,Dido,359,
The World As I See It,Jason Mraz,239,
Dreaming My Dreams With You,Alison Krauss,268,
Two Doors Down,Mark Burchfield,178,
The Unnamed Feeling , Metallica,429,
Australia,"The,shins",222,
Dannyboy,Youngblood Hawke,187,
Best Day Of My Life,American Authors,517,
Gravity,Sara Bareilles,233,
It's a Beautiful Day,Michael BublÃ©,540,
Fireflies,Owl City,230,
I've Been In Love Before,Cutting Crew,308,
Innocent,Taylor Swift,302,
Mean,Taylor Swift,242,
Dead And Gone , T.I.,304,
Boston,Augustana,250,
Everything Will Flow,Suede,270,
Pencil Full Of Lead,Paolo Nutini,148,
Boogie Street,Leonard Cohen,362,
Chloe (You're The One I Want),Emblem3,592,
In the summertime,Mungo jerry,216,
Disguise,Lene Marlin,232,
Walking The Dog,Fun.,220,
Stationary Stationery , Anberlin,181,
Leave The Light On,Priscilla Ahn,198,
Lamb Of God,Marilyn Mans,746,
Ridin',"Chamillionaire,sway",272,
Mad World,Gary jules,180,
Better Off Dead,anathema,263,
That Year,Brandi Carlile,216,
So Far,Chris Garneau,265,
Out From Under,Britney Spears,236,
gold in the air of summer,Kings Of Convenience,214,
Somebody,Blue October,203,
Never Again , Kelly Clarkson,222,
Another Time Around,Sum 41,416,
All The Pretty Girls,Fun.,206,
The Priest , Limp Bizkit,299,
The Four Horsemen , Metallica,321,
Give Me Life,Daniel Powter,218,
"Drama, Love & 'Lationships",Babyface,238,
A Thousand Years,Christina Perri,289,
Angel Of Mine,Monica,251,
Mr. Know It All , Kelly Clarkson,235,
Swingset Chain,Loquat,287,
Lullaby,The Cure,253,
Captains And Cruise Ships,Owl City,246,
Hey Scenesters!,The Cribs,196,
Hurt , Adelitas Way,236,
Dear Father,Sum 41,234,
What Goes Around Comes Around,Justin Timberlake,271,
What Makes You Beautiful,One Direction,202,
Where Are You Now,Britney Spears,280,
Lollipop,Aqua,219,
Motivation,SUM 41,171,
Dark Side,Kelly Clarkson,224,
Never Know,Jack Johnson,212,
Stay The Night,James Blunt,216,
Sleep With You,Egil Olsen,144,
I'm Yours,Jason Mraz,245,
Dream Catch Me,Newton Faulkner,240,
The Life And Death Of Mr. Badmouth,Pj Harvey,290,
You Are My Sunshine,Carly Simon,156,
Fuel , Metallica,272,
The One That Got Away,Katy Perry,231,
Don'T Cry,Guns N' Roses,288,
The Water Is Wide,James Taylor,182,
Maybe I'Ll Go,Lene Marlin,281,
Spaceship,Kanye West,329,
Right Next To The Right One,Tim Christensen,252,
On Top Of The World,Imagine Dragons,507,
Mondo Bongo,Joe Strummer & The Mescaleros,,373,
What Are You,David Gray,192,
Rootless Tree,Damien Rice,263,
Costume Makes The Clown,Shakira,192,
Over The Way,»Æ½¨Îª,271,
In The Dark,Shelley Harland,198,
God Is A Girl,Groove Coverage,225,
Maybe California,Tori Amos,265,
You Know What You Are_,Nine Inch Nails,222,
I Bruise Easily,Natasha Bedingfield,253,
All The Way,Craig David,222,
Rid Of Me,Pj Harvey,269,
You Took My Heart Away,Michael Learns To Rock,274,
She'S The One,Robbie Williams,262,
Holiday In My Head,Smash Mouth,166,
All About Your Heart,Mindy Gledhill,249,
Hard Believer,First Aid Kit,226,
Shock Me Into Love,Lenka,209,
Brick,Ben Folds Five,272,
Music Box,Eminem,310,
